iteration : 19, ce : 0.5039772629737854, total_loss : 0.5039772629737854, time : 89
iteration : 39, ce : 0.299531827121973, total_loss : 0.299531827121973, time : 53
iteration : 59, ce : 0.22929535061120987, total_loss : 0.22929535061120987, time : 54
iteration : 79, ce : 0.27729804292321203, total_loss : 0.27729804292321203, time : 51
iteration : 99, ce : 0.25116583444178103, total_loss : 0.25116583444178103, time : 50
iteration : 119, ce : 0.25392231345176697, total_loss : 0.25392231345176697, time : 50
iteration : 139, ce : 0.22838113233447074, total_loss : 0.22838113233447074, time : 50
iteration : 159, ce : 0.2533711470663548, total_loss : 0.2533711470663548, time : 51
iteration : 179, ce : 0.20792484618723392, total_loss : 0.20792484618723392, time : 50
iteration : 199, ce : 0.23497666865587236, total_loss : 0.23497666865587236, time : 50
iteration : 219, ce : 0.21767355762422086, total_loss : 0.21767355762422086, time : 50
iteration : 239, ce : 0.23618170022964477, total_loss : 0.23618170022964477, time : 50
iteration : 259, ce : 0.20637462586164473, total_loss : 0.20637462586164473, time : 50
iteration : 279, ce : 0.20242090299725532, total_loss : 0.20242090299725532, time : 50
iteration : 299, ce : 0.22483205422759056, total_loss : 0.22483205422759056, time : 50
iteration : 319, ce : 0.2475835844874382, total_loss : 0.2475835844874382, time : 50
iteration : 339, ce : 0.2128139242529869, total_loss : 0.2128139242529869, time : 51
