iteration : 19, ce : 0.6869898825883866, total_loss : 0.6869898825883866, time : 86
iteration : 39, ce : 0.6383850157260895, total_loss : 0.6383850157260895, time : 50
iteration : 59, ce : 0.6077336639165878, total_loss : 0.6077336639165878, time : 51
iteration : 79, ce : 0.5596644893288613, total_loss : 0.5596644893288613, time : 51
iteration : 99, ce : 0.5584336549043656, total_loss : 0.5584336549043656, time : 51
iteration : 119, ce : 0.5785017013549805, total_loss : 0.5785017013549805, time : 51
iteration : 139, ce : 0.5464692890644074, total_loss : 0.5464692890644074, time : 50
iteration : 159, ce : 0.5140146553516388, total_loss : 0.5140146553516388, time : 50
iteration : 179, ce : 0.505925327539444, total_loss : 0.505925327539444, time : 50
iteration : 199, ce : 0.47478634119033813, total_loss : 0.47478634119033813, time : 50
iteration : 219, ce : 0.4735046476125717, total_loss : 0.4735046476125717, time : 50
iteration : 239, ce : 0.46140309423208237, total_loss : 0.46140309423208237, time : 50
iteration : 259, ce : 0.43647877424955367, total_loss : 0.43647877424955367, time : 50
iteration : 279, ce : 0.44117714166641236, total_loss : 0.44117714166641236, time : 50
iteration : 299, ce : 0.43818196654319763, total_loss : 0.43818196654319763, time : 50
iteration : 319, ce : 0.44177097231149676, total_loss : 0.44177097231149676, time : 50
iteration : 339, ce : 0.43354069739580153, total_loss : 0.43354069739580153, time : 50
iteration : 359, ce : 0.4263992145657539, total_loss : 0.4263992145657539, time : 50
iteration : 379, ce : 0.424159374833107, total_loss : 0.424159374833107, time : 50
iteration : 399, ce : 0.4482608914375305, total_loss : 0.4482608914375305, time : 50
iteration : 419, ce : 0.4516480311751366, total_loss : 0.4516480311751366, time : 50
iteration : 439, ce : 0.4332308441400528, total_loss : 0.4332308441400528, time : 50
iteration : 459, ce : 0.4379317119717598, total_loss : 0.4379317119717598, time : 50
iteration : 479, ce : 0.44402046501636505, total_loss : 0.44402046501636505, time : 50
iteration : 499, ce : 0.4483470842242241, total_loss : 0.4483470842242241, time : 50
iteration : 519, ce : 0.43633578568696973, total_loss : 0.43633578568696973, time : 50
iteration : 539, ce : 0.44558501839637754, total_loss : 0.44558501839637754, time : 50
iteration : 559, ce : 0.43370559960603716, total_loss : 0.43370559960603716, time : 50
iteration : 579, ce : 0.45265008360147474, total_loss : 0.45265008360147474, time : 50
iteration : 599, ce : 0.45409960150718687, total_loss : 0.45409960150718687, time : 50
iteration : 619, ce : 0.4362201079726219, total_loss : 0.4362201079726219, time : 50
iteration : 639, ce : 0.43347037583589554, total_loss : 0.43347037583589554, time : 50
iteration : 659, ce : 0.4196467101573944, total_loss : 0.4196467101573944, time : 50
iteration : 679, ce : 0.42088308483362197, total_loss : 0.42088308483362197, time : 50
iteration : 699, ce : 0.4339538559317589, total_loss : 0.4339538559317589, time : 50
iteration : 719, ce : 0.42289602756500244, total_loss : 0.42289602756500244, time : 50
iteration : 739, ce : 0.4478976622223854, total_loss : 0.4478976622223854, time : 50
iteration : 759, ce : 0.4208633959293365, total_loss : 0.4208633959293365, time : 50
iteration : 779, ce : 0.44188820719718935, total_loss : 0.44188820719718935, time : 50
iteration : 799, ce : 0.40494429171085355, total_loss : 0.40494429171085355, time : 50
iteration : 819, ce : 0.42936354130506516, total_loss : 0.42936354130506516, time : 50
iteration : 839, ce : 0.4393419221043587, total_loss : 0.4393419221043587, time : 50
iteration : 859, ce : 0.444224089384079, total_loss : 0.444224089384079, time : 50
iteration : 879, ce : 0.4181383281946182, total_loss : 0.4181383281946182, time : 50
iteration : 899, ce : 0.4228196367621422, total_loss : 0.4228196367621422, time : 50
iteration : 919, ce : 0.43301351368427277, total_loss : 0.43301351368427277, time : 50
iteration : 939, ce : 0.4481284737586975, total_loss : 0.4481284737586975, time : 50
iteration : 959, ce : 0.42949147075414656, total_loss : 0.42949147075414656, time : 50
iteration : 979, ce : 0.42439387887716296, total_loss : 0.42439387887716296, time : 50
iteration : 999, ce : 0.4342921406030655, total_loss : 0.4342921406030655, time : 50
iteration : 1019, ce : 0.4331206753849983, total_loss : 0.4331206753849983, time : 50
iteration : 1039, ce : 0.42126061022281647, total_loss : 0.42126061022281647, time : 50
iteration : 1059, ce : 0.41111258417367935, total_loss : 0.41111258417367935, time : 50
iteration : 1079, ce : 0.44248918145895005, total_loss : 0.44248918145895005, time : 50
iteration : 1099, ce : 0.43684143424034116, total_loss : 0.43684143424034116, time : 50
iteration : 1119, ce : 0.4297198951244354, total_loss : 0.4297198951244354, time : 50
iteration : 1139, ce : 0.43089851289987563, total_loss : 0.43089851289987563, time : 50
iteration : 1159, ce : 0.43892998099327085, total_loss : 0.43892998099327085, time : 50
iteration : 1179, ce : 0.43911921679973603, total_loss : 0.43911921679973603, time : 50
iteration : 1199, ce : 0.4346834883093834, total_loss : 0.4346834883093834, time : 50
iteration : 1219, ce : 0.4401085779070854, total_loss : 0.4401085779070854, time : 50
iteration : 1239, ce : 0.4439650446176529, total_loss : 0.4439650446176529, time : 49
iteration : 1259, ce : 0.4270972296595573, total_loss : 0.4270972296595573, time : 50
iteration : 1279, ce : 0.44562494158744814, total_loss : 0.44562494158744814, time : 50
iteration : 1299, ce : 0.42571630626916884, total_loss : 0.42571630626916884, time : 50
iteration : 1319, ce : 0.4256545200943947, total_loss : 0.4256545200943947, time : 50
iteration : 1339, ce : 0.4223842427134514, total_loss : 0.4223842427134514, time : 50
iteration : 1359, ce : 0.43252810537815095, total_loss : 0.43252810537815095, time : 49
iteration : 1379, ce : 0.4250214546918869, total_loss : 0.4250214546918869, time : 50
iteration : 1399, ce : 0.4329894259572029, total_loss : 0.4329894259572029, time : 50
iteration : 1419, ce : 0.4382962226867676, total_loss : 0.4382962226867676, time : 50
iteration : 1439, ce : 0.4128741040825844, total_loss : 0.4128741040825844, time : 50
iteration : 1459, ce : 0.4185681715607643, total_loss : 0.4185681715607643, time : 50
iteration : 1479, ce : 0.43156878352165223, total_loss : 0.43156878352165223, time : 50
iteration : 1499, ce : 0.43479140996932986, total_loss : 0.43479140996932986, time : 50
iteration : 1519, ce : 0.4241848886013031, total_loss : 0.4241848886013031, time : 50
iteration : 1539, ce : 0.42394607663154604, total_loss : 0.42394607663154604, time : 50
iteration : 1559, ce : 0.4241912171244621, total_loss : 0.4241912171244621, time : 50
iteration : 1579, ce : 0.42965397536754607, total_loss : 0.42965397536754607, time : 50
iteration : 1599, ce : 0.42879279553890226, total_loss : 0.42879279553890226, time : 50
iteration : 1619, ce : 0.44148747324943544, total_loss : 0.44148747324943544, time : 50
iteration : 1639, ce : 0.4350517451763153, total_loss : 0.4350517451763153, time : 50
iteration : 1659, ce : 0.44289106875658035, total_loss : 0.44289106875658035, time : 50
iteration : 1679, ce : 0.42918184101581575, total_loss : 0.42918184101581575, time : 50
iteration : 1699, ce : 0.423079152405262, total_loss : 0.423079152405262, time : 50
iteration : 1719, ce : 0.44013639986515046, total_loss : 0.44013639986515046, time : 50
iteration : 1739, ce : 0.4314738780260086, total_loss : 0.4314738780260086, time : 50
iteration : 1759, ce : 0.4474370613694191, total_loss : 0.4474370613694191, time : 50
iteration : 1779, ce : 0.4289157912135124, total_loss : 0.4289157912135124, time : 50
