iteration : 19, ce : 0.6420324206352234, total_loss : 0.6420324206352234, time : 57
iteration : 39, ce : 0.5626235246658325, total_loss : 0.5626235246658325, time : 15
iteration : 59, ce : 0.48998460471630095, total_loss : 0.48998460471630095, time : 15
iteration : 79, ce : 0.45421805083751676, total_loss : 0.45421805083751676, time : 16
iteration : 99, ce : 0.43930780291557314, total_loss : 0.43930780291557314, time : 16
iteration : 119, ce : 0.39344374760985373, total_loss : 0.39344374760985373, time : 17
iteration : 139, ce : 0.37453545704483987, total_loss : 0.37453545704483987, time : 18
iteration : 159, ce : 0.32440197467803955, total_loss : 0.32440197467803955, time : 18
iteration : 179, ce : 0.3291798397898674, total_loss : 0.3291798397898674, time : 18
iteration : 199, ce : 0.3067744992673397, total_loss : 0.3067744992673397, time : 19
iteration : 219, ce : 0.3148676425218582, total_loss : 0.3148676425218582, time : 19
iteration : 239, ce : 0.33460085913538934, total_loss : 0.33460085913538934, time : 19
iteration : 259, ce : 0.2924605421721935, total_loss : 0.2924605421721935, time : 19
iteration : 279, ce : 0.32077726572751997, total_loss : 0.32077726572751997, time : 19
iteration : 299, ce : 0.3260902836918831, total_loss : 0.3260902836918831, time : 19
iteration : 319, ce : 0.30284775570034983, total_loss : 0.30284775570034983, time : 19
iteration : 339, ce : 0.2905951954424381, total_loss : 0.2905951954424381, time : 19
iteration : 359, ce : 0.34183223322033884, total_loss : 0.34183223322033884, time : 19
iteration : 379, ce : 0.32337518185377123, total_loss : 0.32337518185377123, time : 19
iteration : 399, ce : 0.27689066603779794, total_loss : 0.27689066603779794, time : 19
iteration : 419, ce : 0.320048638433218, total_loss : 0.320048638433218, time : 19
iteration : 439, ce : 0.3010916240513325, total_loss : 0.3010916240513325, time : 19
iteration : 459, ce : 0.3223007284104824, total_loss : 0.3223007284104824, time : 19
iteration : 479, ce : 0.3375854305922985, total_loss : 0.3375854305922985, time : 19
iteration : 499, ce : 0.2880787130445242, total_loss : 0.2880787130445242, time : 19
iteration : 519, ce : 0.3362514995038509, total_loss : 0.3362514995038509, time : 19
iteration : 539, ce : 0.33568820506334307, total_loss : 0.33568820506334307, time : 19
iteration : 559, ce : 0.3007720306515694, total_loss : 0.3007720306515694, time : 19
iteration : 579, ce : 0.26408602446317675, total_loss : 0.26408602446317675, time : 19
iteration : 599, ce : 0.31075402684509756, total_loss : 0.31075402684509756, time : 19
iteration : 619, ce : 0.33364630192518235, total_loss : 0.33364630192518235, time : 19
iteration : 639, ce : 0.237697472050786, total_loss : 0.237697472050786, time : 19
iteration : 659, ce : 0.2807897299528122, total_loss : 0.2807897299528122, time : 19
iteration : 679, ce : 0.29713304042816163, total_loss : 0.29713304042816163, time : 19
iteration : 699, ce : 0.2761039357632399, total_loss : 0.2761039357632399, time : 19
iteration : 719, ce : 0.341477757692337, total_loss : 0.341477757692337, time : 19
