iteration : 19, ce : 2.0948935210704804, total_loss : 2.0948935210704804, time : 85
iteration : 39, ce : 2.0024108946323396, total_loss : 2.0024108946323396, time : 41
iteration : 59, ce : 1.946116751432419, total_loss : 1.946116751432419, time : 46
iteration : 79, ce : 1.9551120817661285, total_loss : 1.9551120817661285, time : 49
iteration : 99, ce : 1.8730002820491791, total_loss : 1.8730002820491791, time : 50
iteration : 119, ce : 1.8338767886161804, total_loss : 1.8338767886161804, time : 51
iteration : 139, ce : 1.8656370997428895, total_loss : 1.8656370997428895, time : 51
iteration : 159, ce : 1.8468497931957244, total_loss : 1.8468497931957244, time : 50
iteration : 179, ce : 1.777001303434372, total_loss : 1.777001303434372, time : 50
iteration : 199, ce : 1.8207528173923493, total_loss : 1.8207528173923493, time : 50
iteration : 219, ce : 1.807849794626236, total_loss : 1.807849794626236, time : 49
iteration : 239, ce : 1.7817178308963775, total_loss : 1.7817178308963775, time : 49
iteration : 259, ce : 1.870590579509735, total_loss : 1.870590579509735, time : 48
iteration : 279, ce : 1.8047403991222382, total_loss : 1.8047403991222382, time : 48
iteration : 299, ce : 1.817367535829544, total_loss : 1.817367535829544, time : 48
iteration : 319, ce : 1.7490921795368195, total_loss : 1.7490921795368195, time : 48
iteration : 339, ce : 1.8177416563034057, total_loss : 1.8177416563034057, time : 48
iteration : 359, ce : 1.7555453419685363, total_loss : 1.7555453419685363, time : 48
iteration : 379, ce : 1.8129860877990722, total_loss : 1.8129860877990722, time : 49
iteration : 399, ce : 1.7720668017864227, total_loss : 1.7720668017864227, time : 49
iteration : 419, ce : 1.7767984032630921, total_loss : 1.7767984032630921, time : 49
iteration : 439, ce : 1.7796752631664277, total_loss : 1.7796752631664277, time : 49
iteration : 459, ce : 1.7620536744594575, total_loss : 1.7620536744594575, time : 50
iteration : 479, ce : 1.850635004043579, total_loss : 1.850635004043579, time : 50
iteration : 499, ce : 1.8116918921470642, total_loss : 1.8116918921470642, time : 50
iteration : 519, ce : 1.7596647799015046, total_loss : 1.7596647799015046, time : 50
iteration : 539, ce : 1.801409500837326, total_loss : 1.801409500837326, time : 50
iteration : 559, ce : 1.7774761855602264, total_loss : 1.7774761855602264, time : 50
iteration : 579, ce : 1.7265560269355773, total_loss : 1.7265560269355773, time : 50
iteration : 599, ce : 1.7637018620967866, total_loss : 1.7637018620967866, time : 50
iteration : 619, ce : 1.8066551506519317, total_loss : 1.8066551506519317, time : 50
iteration : 639, ce : 1.770702028274536, total_loss : 1.770702028274536, time : 51
iteration : 659, ce : 1.7305095314979553, total_loss : 1.7305095314979553, time : 51
iteration : 679, ce : 1.7619621753692627, total_loss : 1.7619621753692627, time : 51
iteration : 699, ce : 1.7493587613105774, total_loss : 1.7493587613105774, time : 51
iteration : 719, ce : 1.7886283099651337, total_loss : 1.7886283099651337, time : 51
iteration : 739, ce : 1.7616812348365785, total_loss : 1.7616812348365785, time : 51
iteration : 759, ce : 1.77995485663414, total_loss : 1.77995485663414, time : 51
iteration : 779, ce : 1.7780115902423859, total_loss : 1.7780115902423859, time : 51
iteration : 799, ce : 1.7807311832904815, total_loss : 1.7807311832904815, time : 51
iteration : 819, ce : 1.790051954984665, total_loss : 1.790051954984665, time : 51
iteration : 839, ce : 1.737565916776657, total_loss : 1.737565916776657, time : 51
iteration : 859, ce : 1.7884222745895386, total_loss : 1.7884222745895386, time : 51
iteration : 879, ce : 1.7996742844581604, total_loss : 1.7996742844581604, time : 51
iteration : 899, ce : 1.8180641412734986, total_loss : 1.8180641412734986, time : 51
iteration : 919, ce : 1.7685000419616699, total_loss : 1.7685000419616699, time : 51
iteration : 939, ce : 1.7702336132526397, total_loss : 1.7702336132526397, time : 51
iteration : 959, ce : 1.7121293425559998, total_loss : 1.7121293425559998, time : 51
iteration : 979, ce : 1.7362996757030487, total_loss : 1.7362996757030487, time : 51
iteration : 999, ce : 1.7628073573112488, total_loss : 1.7628073573112488, time : 51
iteration : 1019, ce : 1.7308649361133575, total_loss : 1.7308649361133575, time : 51
iteration : 1039, ce : 1.7785480797290802, total_loss : 1.7785480797290802, time : 51
iteration : 1059, ce : 1.7323366820812225, total_loss : 1.7323366820812225, time : 51
iteration : 1079, ce : 1.7106623768806457, total_loss : 1.7106623768806457, time : 51
iteration : 1099, ce : 1.754768395423889, total_loss : 1.754768395423889, time : 51
iteration : 1119, ce : 1.7689103484153748, total_loss : 1.7689103484153748, time : 51
iteration : 1139, ce : 1.7895330607891082, total_loss : 1.7895330607891082, time : 51
iteration : 1159, ce : 1.752255517244339, total_loss : 1.752255517244339, time : 51
iteration : 1179, ce : 1.7572623670101166, total_loss : 1.7572623670101166, time : 51
