iteration : 19, ce : 0.6459035336971283, total_loss : 0.6459035336971283, time : 79
iteration : 39, ce : 0.5767949372529984, total_loss : 0.5767949372529984, time : 35
iteration : 59, ce : 0.5336828842759133, total_loss : 0.5336828842759133, time : 37
iteration : 79, ce : 0.5161156222224236, total_loss : 0.5161156222224236, time : 41
iteration : 99, ce : 0.494737534224987, total_loss : 0.494737534224987, time : 43
iteration : 119, ce : 0.4406098946928978, total_loss : 0.4406098946928978, time : 45
iteration : 139, ce : 0.4294567361474037, total_loss : 0.4294567361474037, time : 44
iteration : 159, ce : 0.37823422998189926, total_loss : 0.37823422998189926, time : 44
iteration : 179, ce : 0.3818734034895897, total_loss : 0.3818734034895897, time : 45
iteration : 199, ce : 0.39304806143045423, total_loss : 0.39304806143045423, time : 45
iteration : 219, ce : 0.3586427986621857, total_loss : 0.3586427986621857, time : 44
iteration : 239, ce : 0.33991445899009703, total_loss : 0.33991445899009703, time : 44
iteration : 259, ce : 0.3482779756188393, total_loss : 0.3482779756188393, time : 44
iteration : 279, ce : 0.3767202883958817, total_loss : 0.3767202883958817, time : 44
iteration : 299, ce : 0.3482340380549431, total_loss : 0.3482340380549431, time : 44
iteration : 319, ce : 0.3586767017841339, total_loss : 0.3586767017841339, time : 44
iteration : 339, ce : 0.3174390494823456, total_loss : 0.3174390494823456, time : 44
iteration : 359, ce : 0.358059361577034, total_loss : 0.358059361577034, time : 45
iteration : 379, ce : 0.33637012019753454, total_loss : 0.33637012019753454, time : 44
iteration : 399, ce : 0.32470555827021597, total_loss : 0.32470555827021597, time : 44
iteration : 419, ce : 0.3373583123087883, total_loss : 0.3373583123087883, time : 44
iteration : 439, ce : 0.30700269155204296, total_loss : 0.30700269155204296, time : 44
iteration : 459, ce : 0.31905731111764907, total_loss : 0.31905731111764907, time : 45
iteration : 479, ce : 0.3470607675611973, total_loss : 0.3470607675611973, time : 45
