iteration : 19, ce : 0.6243641704320908, total_loss : 0.6243641704320908, time : 64
iteration : 39, ce : 0.5666690751910209, total_loss : 0.5666690751910209, time : 21
iteration : 59, ce : 0.4968657284975052, total_loss : 0.4968657284975052, time : 22
iteration : 79, ce : 0.465812686085701, total_loss : 0.465812686085701, time : 22
iteration : 99, ce : 0.44966247528791425, total_loss : 0.44966247528791425, time : 24
iteration : 119, ce : 0.4003575384616852, total_loss : 0.4003575384616852, time : 25
iteration : 139, ce : 0.37166625559329985, total_loss : 0.37166625559329985, time : 26
iteration : 159, ce : 0.33721200525760653, total_loss : 0.33721200525760653, time : 26
iteration : 179, ce : 0.3023428522050381, total_loss : 0.3023428522050381, time : 27
iteration : 199, ce : 0.36342753693461416, total_loss : 0.36342753693461416, time : 27
iteration : 219, ce : 0.36592316851019857, total_loss : 0.36592316851019857, time : 27
iteration : 239, ce : 0.32937037348747256, total_loss : 0.32937037348747256, time : 27
iteration : 259, ce : 0.3003896903246641, total_loss : 0.3003896903246641, time : 27
iteration : 279, ce : 0.400932651758194, total_loss : 0.400932651758194, time : 27
iteration : 299, ce : 0.3200978089123964, total_loss : 0.3200978089123964, time : 27
iteration : 319, ce : 0.3060445811599493, total_loss : 0.3060445811599493, time : 27
iteration : 339, ce : 0.311036828905344, total_loss : 0.311036828905344, time : 27
iteration : 359, ce : 0.30331539995968343, total_loss : 0.30331539995968343, time : 27
iteration : 379, ce : 0.2678544882684946, total_loss : 0.2678544882684946, time : 27
iteration : 399, ce : 0.3277363993227482, total_loss : 0.3277363993227482, time : 27
iteration : 419, ce : 0.30798993557691573, total_loss : 0.30798993557691573, time : 27
iteration : 439, ce : 0.24199073798954487, total_loss : 0.24199073798954487, time : 27
iteration : 459, ce : 0.3170696534216404, total_loss : 0.3170696534216404, time : 27
iteration : 479, ce : 0.3208696499466896, total_loss : 0.3208696499466896, time : 27
iteration : 499, ce : 0.3132525648921728, total_loss : 0.3132525648921728, time : 27
iteration : 519, ce : 0.3322450812906027, total_loss : 0.3322450812906027, time : 27
iteration : 539, ce : 0.2976455695927143, total_loss : 0.2976455695927143, time : 27
iteration : 559, ce : 0.31220783591270446, total_loss : 0.31220783591270446, time : 27
iteration : 579, ce : 0.32943910360336304, total_loss : 0.32943910360336304, time : 27
iteration : 599, ce : 0.2748074557632208, total_loss : 0.2748074557632208, time : 27
iteration : 619, ce : 0.3119178473949432, total_loss : 0.3119178473949432, time : 27
iteration : 639, ce : 0.2584532931447029, total_loss : 0.2584532931447029, time : 27
iteration : 659, ce : 0.30622425489127636, total_loss : 0.30622425489127636, time : 27
iteration : 679, ce : 0.33152797967195513, total_loss : 0.33152797967195513, time : 27
iteration : 699, ce : 0.28382805958390234, total_loss : 0.28382805958390234, time : 27
iteration : 719, ce : 0.3039350353181362, total_loss : 0.3039350353181362, time : 27
iteration : 739, ce : 0.36441500186920167, total_loss : 0.36441500186920167, time : 27
iteration : 759, ce : 0.32090810760855676, total_loss : 0.32090810760855676, time : 27
iteration : 779, ce : 0.3647747077047825, total_loss : 0.3647747077047825, time : 27
iteration : 799, ce : 0.3264892578125, total_loss : 0.3264892578125, time : 27
iteration : 819, ce : 0.2946504127234221, total_loss : 0.2946504127234221, time : 27
iteration : 839, ce : 0.3073879987001419, total_loss : 0.3073879987001419, time : 27
iteration : 859, ce : 0.332322271168232, total_loss : 0.332322271168232, time : 27
