iteration : 19, ce : 0.6633708238601684, total_loss : 0.6633708238601684, time : 207
iteration : 39, ce : 0.6293828129768372, total_loss : 0.6293828129768372, time : 20
iteration : 59, ce : 0.6008679762482643, total_loss : 0.6008679762482643, time : 21
iteration : 79, ce : 0.5737745389342308, total_loss : 0.5737745389342308, time : 23
iteration : 99, ce : 0.5598569631576538, total_loss : 0.5598569631576538, time : 24
iteration : 119, ce : 0.5404922753572464, total_loss : 0.5404922753572464, time : 24
iteration : 139, ce : 0.5308803617954254, total_loss : 0.5308803617954254, time : 25
iteration : 159, ce : 0.5214391067624092, total_loss : 0.5214391067624092, time : 25
iteration : 179, ce : 0.5184274181723595, total_loss : 0.5184274181723595, time : 25
iteration : 199, ce : 0.5260812744498253, total_loss : 0.5260812744498253, time : 25
iteration : 219, ce : 0.5027997627854347, total_loss : 0.5027997627854347, time : 25
iteration : 239, ce : 0.4862645551562309, total_loss : 0.4862645551562309, time : 25
iteration : 259, ce : 0.45712158381938933, total_loss : 0.45712158381938933, time : 25
iteration : 279, ce : 0.4602190136909485, total_loss : 0.4602190136909485, time : 25
iteration : 299, ce : 0.4377655744552612, total_loss : 0.4377655744552612, time : 25
iteration : 319, ce : 0.45249392837285995, total_loss : 0.45249392837285995, time : 25
iteration : 339, ce : 0.46152334809303286, total_loss : 0.46152334809303286, time : 25
iteration : 359, ce : 0.44565186053514483, total_loss : 0.44565186053514483, time : 25
iteration : 379, ce : 0.4558252438902855, total_loss : 0.4558252438902855, time : 25
iteration : 399, ce : 0.45508033484220506, total_loss : 0.45508033484220506, time : 25
iteration : 419, ce : 0.42535148859024047, total_loss : 0.42535148859024047, time : 25
iteration : 439, ce : 0.45096794962882997, total_loss : 0.45096794962882997, time : 25
iteration : 459, ce : 0.4306498199701309, total_loss : 0.4306498199701309, time : 24
iteration : 479, ce : 0.4125063642859459, total_loss : 0.4125063642859459, time : 25
iteration : 499, ce : 0.47870902717113495, total_loss : 0.47870902717113495, time : 25
iteration : 519, ce : 0.45049524009227754, total_loss : 0.45049524009227754, time : 25
iteration : 539, ce : 0.4218670532107353, total_loss : 0.4218670532107353, time : 25
iteration : 559, ce : 0.4524171680212021, total_loss : 0.4524171680212021, time : 25
iteration : 579, ce : 0.4273627564311028, total_loss : 0.4273627564311028, time : 25
iteration : 599, ce : 0.4307596117258072, total_loss : 0.4307596117258072, time : 25
iteration : 619, ce : 0.4384851947426796, total_loss : 0.4384851947426796, time : 25
iteration : 639, ce : 0.4145732596516609, total_loss : 0.4145732596516609, time : 25
iteration : 659, ce : 0.4442912176251411, total_loss : 0.4442912176251411, time : 25
iteration : 679, ce : 0.42952985763549806, total_loss : 0.42952985763549806, time : 25
iteration : 699, ce : 0.44225933849811555, total_loss : 0.44225933849811555, time : 25
iteration : 719, ce : 0.4233739271759987, total_loss : 0.4233739271759987, time : 25
iteration : 739, ce : 0.43799653053283694, total_loss : 0.43799653053283694, time : 25
iteration : 759, ce : 0.4485715076327324, total_loss : 0.4485715076327324, time : 25
iteration : 779, ce : 0.4319117069244385, total_loss : 0.4319117069244385, time : 25
iteration : 799, ce : 0.437636137008667, total_loss : 0.437636137008667, time : 25
iteration : 819, ce : 0.4536657780408859, total_loss : 0.4536657780408859, time : 25
iteration : 839, ce : 0.44261761009693146, total_loss : 0.44261761009693146, time : 25
iteration : 859, ce : 0.4596122071146965, total_loss : 0.4596122071146965, time : 25
iteration : 879, ce : 0.43888584822416304, total_loss : 0.43888584822416304, time : 25
iteration : 899, ce : 0.4366452842950821, total_loss : 0.4366452842950821, time : 24
iteration : 919, ce : 0.4276421993970871, total_loss : 0.4276421993970871, time : 25
iteration : 939, ce : 0.42063580006361007, total_loss : 0.42063580006361007, time : 25
iteration : 959, ce : 0.44520352184772494, total_loss : 0.44520352184772494, time : 25
iteration : 979, ce : 0.4249321386218071, total_loss : 0.4249321386218071, time : 25
iteration : 999, ce : 0.44291706532239916, total_loss : 0.44291706532239916, time : 25
iteration : 1019, ce : 0.4220058023929596, total_loss : 0.4220058023929596, time : 25
iteration : 1039, ce : 0.4320207446813583, total_loss : 0.4320207446813583, time : 25
iteration : 1059, ce : 0.4266470342874527, total_loss : 0.4266470342874527, time : 25
iteration : 1079, ce : 0.4385759308934212, total_loss : 0.4385759308934212, time : 25
iteration : 1099, ce : 0.4357122376561165, total_loss : 0.4357122376561165, time : 25
iteration : 1119, ce : 0.46027656495571134, total_loss : 0.46027656495571134, time : 25
iteration : 1139, ce : 0.43065247088670733, total_loss : 0.43065247088670733, time : 25
iteration : 1159, ce : 0.4580573782324791, total_loss : 0.4580573782324791, time : 25
iteration : 1179, ce : 0.4488444611430168, total_loss : 0.4488444611430168, time : 25
iteration : 1199, ce : 0.4256099209189415, total_loss : 0.4256099209189415, time : 25
iteration : 1219, ce : 0.43495583832263945, total_loss : 0.43495583832263945, time : 25
iteration : 1239, ce : 0.44910994321107867, total_loss : 0.44910994321107867, time : 25
iteration : 1259, ce : 0.4199420794844627, total_loss : 0.4199420794844627, time : 25
iteration : 1279, ce : 0.42932083159685136, total_loss : 0.42932083159685136, time : 25
iteration : 1299, ce : 0.4459828346967697, total_loss : 0.4459828346967697, time : 25
iteration : 1319, ce : 0.4356023743748665, total_loss : 0.4356023743748665, time : 25
iteration : 1339, ce : 0.42947991043329237, total_loss : 0.42947991043329237, time : 25
iteration : 1359, ce : 0.4242361709475517, total_loss : 0.4242361709475517, time : 25
iteration : 1379, ce : 0.41831995844841, total_loss : 0.41831995844841, time : 25
iteration : 1399, ce : 0.4256222486495972, total_loss : 0.4256222486495972, time : 25
iteration : 1419, ce : 0.42629525512456895, total_loss : 0.42629525512456895, time : 25
iteration : 1439, ce : 0.4218386709690094, total_loss : 0.4218386709690094, time : 25
iteration : 1459, ce : 0.4481995448470116, total_loss : 0.4481995448470116, time : 25
iteration : 1479, ce : 0.4393947646021843, total_loss : 0.4393947646021843, time : 25
iteration : 1499, ce : 0.445800843834877, total_loss : 0.445800843834877, time : 25
