iteration : 19, ce : 0.5875038251280784, total_loss : 0.5875038251280784, time : 86
iteration : 39, ce : 0.5552422374486923, total_loss : 0.5552422374486923, time : 51
iteration : 59, ce : 0.5373250290751457, total_loss : 0.5373250290751457, time : 51
iteration : 79, ce : 0.4776368036866188, total_loss : 0.4776368036866188, time : 51
iteration : 99, ce : 0.5274224415421486, total_loss : 0.5274224415421486, time : 51
iteration : 119, ce : 0.49525202065706253, total_loss : 0.49525202065706253, time : 50
iteration : 139, ce : 0.4765155389904976, total_loss : 0.4765155389904976, time : 50
iteration : 159, ce : 0.4473191052675247, total_loss : 0.4473191052675247, time : 50
iteration : 179, ce : 0.4602452710270882, total_loss : 0.4602452710270882, time : 49
iteration : 199, ce : 0.4394949063658714, total_loss : 0.4394949063658714, time : 47
iteration : 219, ce : 0.4637634202837944, total_loss : 0.4637634202837944, time : 47
iteration : 239, ce : 0.42312192916870117, total_loss : 0.42312192916870117, time : 47
iteration : 259, ce : 0.48801150619983674, total_loss : 0.48801150619983674, time : 48
iteration : 279, ce : 0.445978744328022, total_loss : 0.445978744328022, time : 48
iteration : 299, ce : 0.4585371732711792, total_loss : 0.4585371732711792, time : 48
iteration : 319, ce : 0.43846130967140196, total_loss : 0.43846130967140196, time : 48
iteration : 339, ce : 0.4674683526158333, total_loss : 0.4674683526158333, time : 48
iteration : 359, ce : 0.4251390188932419, total_loss : 0.4251390188932419, time : 49
iteration : 379, ce : 0.36153515577316286, total_loss : 0.36153515577316286, time : 48
iteration : 399, ce : 0.4325874730944633, total_loss : 0.4325874730944633, time : 48
iteration : 419, ce : 0.42053790390491486, total_loss : 0.42053790390491486, time : 48
iteration : 439, ce : 0.40038868486881257, total_loss : 0.40038868486881257, time : 48
iteration : 459, ce : 0.41193215176463127, total_loss : 0.41193215176463127, time : 48
iteration : 479, ce : 0.40149563923478127, total_loss : 0.40149563923478127, time : 48
iteration : 499, ce : 0.39356555640697477, total_loss : 0.39356555640697477, time : 48
iteration : 519, ce : 0.411010679602623, total_loss : 0.411010679602623, time : 48
iteration : 539, ce : 0.407589302957058, total_loss : 0.407589302957058, time : 48
iteration : 559, ce : 0.39608505740761757, total_loss : 0.39608505740761757, time : 48
iteration : 579, ce : 0.37179064899683, total_loss : 0.37179064899683, time : 48
iteration : 599, ce : 0.404582479596138, total_loss : 0.404582479596138, time : 49
iteration : 619, ce : 0.39784733653068544, total_loss : 0.39784733653068544, time : 51
iteration : 639, ce : 0.3820559188723564, total_loss : 0.3820559188723564, time : 50
iteration : 659, ce : 0.38288756385445594, total_loss : 0.38288756385445594, time : 50
iteration : 679, ce : 0.3973031461238861, total_loss : 0.3973031461238861, time : 48
iteration : 699, ce : 0.37878236174583435, total_loss : 0.37878236174583435, time : 47
iteration : 719, ce : 0.4039597660303116, total_loss : 0.4039597660303116, time : 48
iteration : 739, ce : 0.4014145329594612, total_loss : 0.4014145329594612, time : 48
iteration : 759, ce : 0.3781339228153229, total_loss : 0.3781339228153229, time : 48
iteration : 779, ce : 0.386455138027668, total_loss : 0.386455138027668, time : 48
iteration : 799, ce : 0.37579404562711716, total_loss : 0.37579404562711716, time : 48
iteration : 819, ce : 0.3989462837576866, total_loss : 0.3989462837576866, time : 48
iteration : 839, ce : 0.3936195597052574, total_loss : 0.3936195597052574, time : 48
