iteration : 19, ce : 0.6917105793952942, total_loss : 0.6917105793952942, time : 61
iteration : 39, ce : 0.6841357290744782, total_loss : 0.6841357290744782, time : 19
iteration : 59, ce : 0.6754655629396439, total_loss : 0.6754655629396439, time : 20
iteration : 79, ce : 0.6693599879741668, total_loss : 0.6693599879741668, time : 20
iteration : 99, ce : 0.6670390397310257, total_loss : 0.6670390397310257, time : 21
iteration : 119, ce : 0.670695447921753, total_loss : 0.670695447921753, time : 22
iteration : 139, ce : 0.6592399388551712, total_loss : 0.6592399388551712, time : 23
iteration : 159, ce : 0.6615396589040756, total_loss : 0.6615396589040756, time : 23
iteration : 179, ce : 0.6553909063339234, total_loss : 0.6553909063339234, time : 24
iteration : 199, ce : 0.6437761068344117, total_loss : 0.6437761068344117, time : 24
iteration : 219, ce : 0.6598571926355362, total_loss : 0.6598571926355362, time : 24
iteration : 239, ce : 0.6561379194259643, total_loss : 0.6561379194259643, time : 24
iteration : 259, ce : 0.6494299381971359, total_loss : 0.6494299381971359, time : 24
iteration : 279, ce : 0.6423909038305282, total_loss : 0.6423909038305282, time : 24
iteration : 299, ce : 0.6273642808198929, total_loss : 0.6273642808198929, time : 24
iteration : 319, ce : 0.6462181478738784, total_loss : 0.6462181478738784, time : 24
iteration : 339, ce : 0.6427673071622848, total_loss : 0.6427673071622848, time : 24
iteration : 359, ce : 0.6458512037992478, total_loss : 0.6458512037992478, time : 24
iteration : 379, ce : 0.649459382891655, total_loss : 0.649459382891655, time : 24
iteration : 399, ce : 0.6497652262449265, total_loss : 0.6497652262449265, time : 24
iteration : 419, ce : 0.637126550078392, total_loss : 0.637126550078392, time : 24
iteration : 439, ce : 0.6543806165456771, total_loss : 0.6543806165456771, time : 24
iteration : 459, ce : 0.6456312656402587, total_loss : 0.6456312656402587, time : 24
iteration : 479, ce : 0.6347100168466568, total_loss : 0.6347100168466568, time : 24
iteration : 499, ce : 0.6456100285053253, total_loss : 0.6456100285053253, time : 24
iteration : 519, ce : 0.6377295702695847, total_loss : 0.6377295702695847, time : 25
iteration : 539, ce : 0.6368071258068084, total_loss : 0.6368071258068084, time : 24
iteration : 559, ce : 0.6405942857265472, total_loss : 0.6405942857265472, time : 24
iteration : 579, ce : 0.6510951191186904, total_loss : 0.6510951191186904, time : 24
iteration : 599, ce : 0.6382878601551056, total_loss : 0.6382878601551056, time : 24
iteration : 619, ce : 0.639777860045433, total_loss : 0.639777860045433, time : 24
iteration : 639, ce : 0.6507358014583587, total_loss : 0.6507358014583587, time : 24
iteration : 659, ce : 0.6324159204959869, total_loss : 0.6324159204959869, time : 24
iteration : 679, ce : 0.6469083040952682, total_loss : 0.6469083040952682, time : 24
iteration : 699, ce : 0.6496011883020401, total_loss : 0.6496011883020401, time : 24
iteration : 719, ce : 0.6415699392557144, total_loss : 0.6415699392557144, time : 24
iteration : 739, ce : 0.6303917229175567, total_loss : 0.6303917229175567, time : 24
iteration : 759, ce : 0.639948508143425, total_loss : 0.639948508143425, time : 24
iteration : 779, ce : 0.6412277758121491, total_loss : 0.6412277758121491, time : 24
iteration : 799, ce : 0.6405803263187408, total_loss : 0.6405803263187408, time : 24
iteration : 819, ce : 0.6264353483915329, total_loss : 0.6264353483915329, time : 24
iteration : 839, ce : 0.6389462441205979, total_loss : 0.6389462441205979, time : 24
iteration : 859, ce : 0.654715695977211, total_loss : 0.654715695977211, time : 24
iteration : 879, ce : 0.6344536930322647, total_loss : 0.6344536930322647, time : 24
iteration : 899, ce : 0.6320924282073974, total_loss : 0.6320924282073974, time : 24
iteration : 919, ce : 0.6477862179279328, total_loss : 0.6477862179279328, time : 24
iteration : 939, ce : 0.624481999874115, total_loss : 0.624481999874115, time : 24
iteration : 959, ce : 0.6297451674938201, total_loss : 0.6297451674938201, time : 24
iteration : 979, ce : 0.6302997052669526, total_loss : 0.6302997052669526, time : 24
iteration : 999, ce : 0.6401778250932694, total_loss : 0.6401778250932694, time : 24
iteration : 1019, ce : 0.6300473600625992, total_loss : 0.6300473600625992, time : 24
iteration : 1039, ce : 0.6469979524612427, total_loss : 0.6469979524612427, time : 24
iteration : 1059, ce : 0.6176570057868958, total_loss : 0.6176570057868958, time : 24
iteration : 1079, ce : 0.6310880780220032, total_loss : 0.6310880780220032, time : 24
iteration : 1099, ce : 0.6327501058578491, total_loss : 0.6327501058578491, time : 24
iteration : 1119, ce : 0.6178483068943024, total_loss : 0.6178483068943024, time : 24
iteration : 1139, ce : 0.6452518105506897, total_loss : 0.6452518105506897, time : 24
iteration : 1159, ce : 0.6275289118289947, total_loss : 0.6275289118289947, time : 24
iteration : 1179, ce : 0.6471516340970993, total_loss : 0.6471516340970993, time : 24
iteration : 1199, ce : 0.6369091242551803, total_loss : 0.6369091242551803, time : 24
iteration : 1219, ce : 0.6388890415430069, total_loss : 0.6388890415430069, time : 24
iteration : 1239, ce : 0.6260518968105316, total_loss : 0.6260518968105316, time : 24
iteration : 1259, ce : 0.6341084837913513, total_loss : 0.6341084837913513, time : 24
iteration : 1279, ce : 0.6276964038610459, total_loss : 0.6276964038610459, time : 24
iteration : 1299, ce : 0.6347407013177871, total_loss : 0.6347407013177871, time : 24
iteration : 1319, ce : 0.6285052537918091, total_loss : 0.6285052537918091, time : 24
iteration : 1339, ce : 0.6350708425045013, total_loss : 0.6350708425045013, time : 24
iteration : 1359, ce : 0.6348511695861816, total_loss : 0.6348511695861816, time : 24
iteration : 1379, ce : 0.6340285867452622, total_loss : 0.6340285867452622, time : 24
iteration : 1399, ce : 0.6217306286096573, total_loss : 0.6217306286096573, time : 24
iteration : 1419, ce : 0.6344592958688736, total_loss : 0.6344592958688736, time : 25
