iteration : 19, ce : 0.4805638030171394, total_loss : 0.4805638030171394, time : 89
iteration : 39, ce : 0.271449663490057, total_loss : 0.271449663490057, time : 52
iteration : 59, ce : 0.2749436400830746, total_loss : 0.2749436400830746, time : 54
iteration : 79, ce : 0.23982014805078505, total_loss : 0.23982014805078505, time : 53
iteration : 99, ce : 0.2539318762719631, total_loss : 0.2539318762719631, time : 53
iteration : 119, ce : 0.2477245531976223, total_loss : 0.2477245531976223, time : 53
iteration : 139, ce : 0.2365669034421444, total_loss : 0.2365669034421444, time : 52
iteration : 159, ce : 0.29069957956671716, total_loss : 0.29069957956671716, time : 52
iteration : 179, ce : 0.22369150295853615, total_loss : 0.22369150295853615, time : 52
iteration : 199, ce : 0.2321913294494152, total_loss : 0.2321913294494152, time : 52
iteration : 219, ce : 0.2345679622143507, total_loss : 0.2345679622143507, time : 52
iteration : 239, ce : 0.2687311083078384, total_loss : 0.2687311083078384, time : 51
iteration : 259, ce : 0.25622966289520266, total_loss : 0.25622966289520266, time : 52
iteration : 279, ce : 0.2421305648982525, total_loss : 0.2421305648982525, time : 52
