iteration : 19, ce : 0.6235860168933869, total_loss : 0.6235860168933869, time : 83
iteration : 39, ce : 0.5434342116117478, total_loss : 0.5434342116117478, time : 45
iteration : 59, ce : 0.45720878392457964, total_loss : 0.45720878392457964, time : 50
iteration : 79, ce : 0.3966409921646118, total_loss : 0.3966409921646118, time : 51
iteration : 99, ce : 0.32484794929623606, total_loss : 0.32484794929623606, time : 51
iteration : 119, ce : 0.3041403368115425, total_loss : 0.3041403368115425, time : 51
iteration : 139, ce : 0.31232955157756803, total_loss : 0.31232955157756803, time : 51
iteration : 159, ce : 0.33147233352065086, total_loss : 0.33147233352065086, time : 50
iteration : 179, ce : 0.2820805676281452, total_loss : 0.2820805676281452, time : 50
iteration : 199, ce : 0.283715333789587, total_loss : 0.283715333789587, time : 50
iteration : 219, ce : 0.2830256327986717, total_loss : 0.2830256327986717, time : 50
iteration : 239, ce : 0.3031581364572048, total_loss : 0.3031581364572048, time : 50
iteration : 259, ce : 0.2757389023900032, total_loss : 0.2757389023900032, time : 50
iteration : 279, ce : 0.33145787194371223, total_loss : 0.33145787194371223, time : 50
iteration : 299, ce : 0.2872406683862209, total_loss : 0.2872406683862209, time : 50
iteration : 319, ce : 0.3210911422967911, total_loss : 0.3210911422967911, time : 50
iteration : 339, ce : 0.29184145480394363, total_loss : 0.29184145480394363, time : 50
iteration : 359, ce : 0.3042168118059635, total_loss : 0.3042168118059635, time : 50
iteration : 379, ce : 0.28451368138194083, total_loss : 0.28451368138194083, time : 50
iteration : 399, ce : 0.26381476521492003, total_loss : 0.26381476521492003, time : 50
iteration : 419, ce : 0.2718567386269569, total_loss : 0.2718567386269569, time : 50
iteration : 439, ce : 0.294645144790411, total_loss : 0.294645144790411, time : 50
iteration : 459, ce : 0.3101391103118658, total_loss : 0.3101391103118658, time : 50
iteration : 479, ce : 0.3038071744143963, total_loss : 0.3038071744143963, time : 50
iteration : 499, ce : 0.27266003265976907, total_loss : 0.27266003265976907, time : 50
iteration : 519, ce : 0.31854684129357336, total_loss : 0.31854684129357336, time : 50
iteration : 539, ce : 0.30737690478563306, total_loss : 0.30737690478563306, time : 50
iteration : 559, ce : 0.2907016184180975, total_loss : 0.2907016184180975, time : 50
iteration : 579, ce : 0.25608897879719733, total_loss : 0.25608897879719733, time : 50
iteration : 599, ce : 0.2736375130712986, total_loss : 0.2736375130712986, time : 50
iteration : 619, ce : 0.2770992673933506, total_loss : 0.2770992673933506, time : 50
iteration : 639, ce : 0.2949348919093609, total_loss : 0.2949348919093609, time : 50
iteration : 659, ce : 0.27550352066755296, total_loss : 0.27550352066755296, time : 50
iteration : 679, ce : 0.2989401362836361, total_loss : 0.2989401362836361, time : 50
iteration : 699, ce : 0.3015380874276161, total_loss : 0.3015380874276161, time : 50
iteration : 719, ce : 0.2561317905783653, total_loss : 0.2561317905783653, time : 50
iteration : 739, ce : 0.2790589973330498, total_loss : 0.2790589973330498, time : 50
iteration : 759, ce : 0.2890925854444504, total_loss : 0.2890925854444504, time : 50
iteration : 779, ce : 0.2739757884293795, total_loss : 0.2739757884293795, time : 50
iteration : 799, ce : 0.3467438094317913, total_loss : 0.3467438094317913, time : 50
iteration : 819, ce : 0.26562313474714755, total_loss : 0.26562313474714755, time : 50
iteration : 839, ce : 0.27930470071733, total_loss : 0.27930470071733, time : 50
iteration : 859, ce : 0.2887598663568497, total_loss : 0.2887598663568497, time : 50
iteration : 879, ce : 0.30758994072675705, total_loss : 0.30758994072675705, time : 50
iteration : 899, ce : 0.3215583495795727, total_loss : 0.3215583495795727, time : 50
iteration : 919, ce : 0.3194726713001728, total_loss : 0.3194726713001728, time : 50
iteration : 939, ce : 0.2916043229401112, total_loss : 0.2916043229401112, time : 50
iteration : 959, ce : 0.2603888869285583, total_loss : 0.2603888869285583, time : 50
iteration : 979, ce : 0.2685885034501553, total_loss : 0.2685885034501553, time : 50
iteration : 999, ce : 0.30746915861964225, total_loss : 0.30746915861964225, time : 50
iteration : 1019, ce : 0.2875906482338905, total_loss : 0.2875906482338905, time : 50
iteration : 1039, ce : 0.2919987365603447, total_loss : 0.2919987365603447, time : 50
iteration : 1059, ce : 0.2949708439409733, total_loss : 0.2949708439409733, time : 50
iteration : 1079, ce : 0.27460304871201513, total_loss : 0.27460304871201513, time : 50
iteration : 1099, ce : 0.2901866599917412, total_loss : 0.2901866599917412, time : 50
iteration : 1119, ce : 0.2832415051758289, total_loss : 0.2832415051758289, time : 50
iteration : 1139, ce : 0.2780894335359335, total_loss : 0.2780894335359335, time : 50
iteration : 1159, ce : 0.25083484053611754, total_loss : 0.25083484053611754, time : 50
iteration : 1179, ce : 0.24426619485020637, total_loss : 0.24426619485020637, time : 50
iteration : 1199, ce : 0.2898075833916664, total_loss : 0.2898075833916664, time : 50
iteration : 1219, ce : 0.25513842701911926, total_loss : 0.25513842701911926, time : 50
iteration : 1239, ce : 0.2517954550683498, total_loss : 0.2517954550683498, time : 50
iteration : 1259, ce : 0.28493691682815553, total_loss : 0.28493691682815553, time : 50
iteration : 1279, ce : 0.2864916153252125, total_loss : 0.2864916153252125, time : 50
iteration : 1299, ce : 0.2552854411303997, total_loss : 0.2552854411303997, time : 50
iteration : 1319, ce : 0.2704602748155594, total_loss : 0.2704602748155594, time : 50
iteration : 1339, ce : 0.2696913830935955, total_loss : 0.2696913830935955, time : 50
iteration : 1359, ce : 0.29518143460154533, total_loss : 0.29518143460154533, time : 50
iteration : 1379, ce : 0.29243027940392496, total_loss : 0.29243027940392496, time : 50
iteration : 1399, ce : 0.25669469088315966, total_loss : 0.25669469088315966, time : 50
iteration : 1419, ce : 0.2854748547077179, total_loss : 0.2854748547077179, time : 50
iteration : 1439, ce : 0.3145679451525211, total_loss : 0.3145679451525211, time : 50
iteration : 1459, ce : 0.2887336015701294, total_loss : 0.2887336015701294, time : 50
iteration : 1479, ce : 0.2989421531558037, total_loss : 0.2989421531558037, time : 50
iteration : 1499, ce : 0.26760945059359076, total_loss : 0.26760945059359076, time : 50
iteration : 1519, ce : 0.26954990476369856, total_loss : 0.26954990476369856, time : 50
iteration : 1539, ce : 0.25268913246691227, total_loss : 0.25268913246691227, time : 50
iteration : 1559, ce : 0.25404152609407904, total_loss : 0.25404152609407904, time : 50
iteration : 1579, ce : 0.24774655401706697, total_loss : 0.24774655401706697, time : 50
iteration : 1599, ce : 0.2791901923716068, total_loss : 0.2791901923716068, time : 50
iteration : 1619, ce : 0.2817224502563477, total_loss : 0.2817224502563477, time : 50
iteration : 1639, ce : 0.2685972534120083, total_loss : 0.2685972534120083, time : 50
iteration : 1659, ce : 0.2935235291719437, total_loss : 0.2935235291719437, time : 50
iteration : 1679, ce : 0.2753427535295486, total_loss : 0.2753427535295486, time : 50
iteration : 1699, ce : 0.26429097875952723, total_loss : 0.26429097875952723, time : 50
