iteration : 19, ce : 0.5708074107766151, total_loss : 0.5708074107766151, time : 117
iteration : 39, ce : 0.5044526889920234, total_loss : 0.5044526889920234, time : 75
iteration : 59, ce : 0.44808806031942366, total_loss : 0.44808806031942366, time : 83
iteration : 79, ce : 0.4153412729501724, total_loss : 0.4153412729501724, time : 85
iteration : 99, ce : 0.3659924790263176, total_loss : 0.3659924790263176, time : 86
iteration : 119, ce : 0.33786618858575823, total_loss : 0.33786618858575823, time : 86
iteration : 139, ce : 0.3475759133696556, total_loss : 0.3475759133696556, time : 85
iteration : 159, ce : 0.34388652741909026, total_loss : 0.34388652741909026, time : 85
iteration : 179, ce : 0.32120858430862426, total_loss : 0.32120858430862426, time : 85
iteration : 199, ce : 0.3300710886716843, total_loss : 0.3300710886716843, time : 85
iteration : 219, ce : 0.3222785010933876, total_loss : 0.3222785010933876, time : 85
iteration : 239, ce : 0.32646085023880006, total_loss : 0.32646085023880006, time : 85
iteration : 259, ce : 0.3162262119352818, total_loss : 0.3162262119352818, time : 85
iteration : 279, ce : 0.330566368997097, total_loss : 0.330566368997097, time : 85
iteration : 299, ce : 0.32770250663161277, total_loss : 0.32770250663161277, time : 85
iteration : 319, ce : 0.32169893234968183, total_loss : 0.32169893234968183, time : 85
iteration : 339, ce : 0.3211107596755028, total_loss : 0.3211107596755028, time : 86
iteration : 359, ce : 0.3111109144985676, total_loss : 0.3111109144985676, time : 86
iteration : 379, ce : 0.33324134200811384, total_loss : 0.33324134200811384, time : 86
iteration : 399, ce : 0.303098114579916, total_loss : 0.303098114579916, time : 86
iteration : 419, ce : 0.30649308040738105, total_loss : 0.30649308040738105, time : 86
iteration : 439, ce : 0.31510364934802054, total_loss : 0.31510364934802054, time : 86
iteration : 459, ce : 0.3279476583003998, total_loss : 0.3279476583003998, time : 86
iteration : 479, ce : 0.3056370258331299, total_loss : 0.3056370258331299, time : 86
iteration : 499, ce : 0.3006471276283264, total_loss : 0.3006471276283264, time : 86
iteration : 519, ce : 0.31640697717666627, total_loss : 0.31640697717666627, time : 86
iteration : 539, ce : 0.3277558133006096, total_loss : 0.3277558133006096, time : 86
iteration : 559, ce : 0.29444779455661774, total_loss : 0.29444779455661774, time : 86
iteration : 579, ce : 0.2807744912803173, total_loss : 0.2807744912803173, time : 86
iteration : 599, ce : 0.31015864089131356, total_loss : 0.31015864089131356, time : 86
iteration : 619, ce : 0.306673938035965, total_loss : 0.306673938035965, time : 86
iteration : 639, ce : 0.2965320087969303, total_loss : 0.2965320087969303, time : 85
