iteration : 19, ce : 0.5298189647495747, dice : 0.49462713822722437, total_loss : 1.0244461208581925, time : 86
iteration : 39, ce : 0.40097643062472343, dice : 0.005920130386948585, total_loss : 0.40689655393362045, time : 41
iteration : 59, ce : 0.2742085993289948, dice : 0.23498632237315178, total_loss : 0.5091949194669724, time : 47
iteration : 79, ce : 0.2989801749587059, dice : 0.20916908234357834, total_loss : 0.5081492602825165, time : 49
iteration : 99, ce : 0.3309245191514492, dice : 0.21097068153321744, total_loss : 0.541895204782486, time : 51
iteration : 119, ce : 0.3552645355463028, dice : 0.29550832509994507, total_loss : 0.6507728591561317, time : 51
iteration : 139, ce : 0.5301993861794472, dice : 0.17837730497121812, total_loss : 0.7085766911506652, time : 52
iteration : 159, ce : 0.31267501413822174, dice : 0.13006713874638082, total_loss : 0.4427421547472477, time : 52
iteration : 179, ce : 0.2596379965543747, dice : 0.342460123822093, total_loss : 0.6020981267094612, time : 51
iteration : 199, ce : 0.24235667996108531, dice : -0.11679360754787922, total_loss : 0.12556307911872863, time : 51
iteration : 219, ce : 0.26903083696961405, dice : 0.1912379615008831, total_loss : 0.4602687984704971, time : 51
iteration : 239, ce : 0.5286862965673208, dice : -0.01217459999024868, total_loss : 0.5165116906166076, time : 51
iteration : 259, ce : 0.8169344320893288, dice : 0.6080801732838154, total_loss : 1.4250146180391312, time : 51
iteration : 279, ce : 0.4864895880222321, dice : 0.30137204825878144, total_loss : 0.7878616392612457, time : 51
iteration : 299, ce : 0.32569852024316787, dice : 0.40568940415978433, total_loss : 0.7313879244029522, time : 51
iteration : 319, ce : 0.3483754672110081, dice : 0.4493862183764577, total_loss : 0.7977616861462593, time : 51
iteration : 339, ce : 0.37439570799469946, dice : 0.343877100199461, total_loss : 0.7182728111743927, time : 51
