iteration : 179, ce : 0.29516658261418344, total_loss : 0.29516658261418344, time : 55
iteration : 199, ce : 0.3058726735413074, total_loss : 0.3058726735413074, time : 52
iteration : 219, ce : 0.3186644159257412, total_loss : 0.3186644159257412, time : 51
iteration : 239, ce : 0.27964256703853607, total_loss : 0.27964256703853607, time : 51
iteration : 259, ce : 0.30802422687411307, total_loss : 0.30802422687411307, time : 51
iteration : 279, ce : 0.2967365875840187, total_loss : 0.2967365875840187, time : 52
iteration : 299, ce : 0.27088126763701437, total_loss : 0.27088126763701437, time : 52
iteration : 319, ce : 0.2894701428711414, total_loss : 0.2894701428711414, time : 52
iteration : 339, ce : 0.2764131560921669, total_loss : 0.2764131560921669, time : 51
iteration : 359, ce : 0.25871427804231645, total_loss : 0.25871427804231645, time : 51
iteration : 379, ce : 0.2990427933633327, total_loss : 0.2990427933633327, time : 51
iteration : 399, ce : 0.2619406901299953, total_loss : 0.2619406901299953, time : 52
iteration : 419, ce : 0.3678835593163967, total_loss : 0.3678835593163967, time : 53
iteration : 439, ce : 0.28423404693603516, total_loss : 0.28423404693603516, time : 52
iteration : 459, ce : 0.2638385459780693, total_loss : 0.2638385459780693, time : 51
iteration : 479, ce : 0.2685947477817535, total_loss : 0.2685947477817535, time : 51
iteration : 499, ce : 0.24150986634194851, total_loss : 0.24150986634194851, time : 52
iteration : 519, ce : 0.25629751533269884, total_loss : 0.25629751533269884, time : 51
iteration : 539, ce : 0.3139454357326031, total_loss : 0.3139454357326031, time : 52
iteration : 559, ce : 0.29255844801664355, total_loss : 0.29255844801664355, time : 51
iteration : 579, ce : 0.2911447398364544, total_loss : 0.2911447398364544, time : 51
iteration : 599, ce : 0.2984210692346096, total_loss : 0.2984210692346096, time : 51
iteration : 619, ce : 0.2749691367149353, total_loss : 0.2749691367149353, time : 51
iteration : 639, ce : 0.25276734307408333, total_loss : 0.25276734307408333, time : 51
iteration : 659, ce : 0.28077214062213895, total_loss : 0.28077214062213895, time : 52
iteration : 679, ce : 0.2648841619491577, total_loss : 0.2648841619491577, time : 51
iteration : 699, ce : 0.25784286111593246, total_loss : 0.25784286111593246, time : 51
iteration : 719, ce : 0.27566365599632264, total_loss : 0.27566365599632264, time : 51
iteration : 739, ce : 0.2505847804248333, total_loss : 0.2505847804248333, time : 51
iteration : 759, ce : 0.27545217573642733, total_loss : 0.27545217573642733, time : 51
iteration : 779, ce : 0.25661257058382037, total_loss : 0.25661257058382037, time : 51
iteration : 799, ce : 0.25414208620786666, total_loss : 0.25414208620786666, time : 51
iteration : 819, ce : 0.2773035041987896, total_loss : 0.2773035041987896, time : 52
iteration : 839, ce : 0.33847355619072916, total_loss : 0.33847355619072916, time : 51
iteration : 859, ce : 0.31933444142341616, total_loss : 0.31933444142341616, time : 53
iteration : 879, ce : 0.29083057269454005, total_loss : 0.29083057269454005, time : 56
iteration : 899, ce : 0.27397433668375015, total_loss : 0.27397433668375015, time : 55
