iteration : 19, ce : 0.6233936533331871, total_loss : 0.6233936533331871, time : 57
iteration : 39, ce : 0.5503742441534996, total_loss : 0.5503742441534996, time : 16
iteration : 59, ce : 0.502564151585102, total_loss : 0.502564151585102, time : 19
iteration : 79, ce : 0.44828317165374754, total_loss : 0.44828317165374754, time : 20
iteration : 99, ce : 0.44863117933273317, total_loss : 0.44863117933273317, time : 20
iteration : 119, ce : 0.3731043368577957, total_loss : 0.3731043368577957, time : 20
iteration : 139, ce : 0.34889849051833155, total_loss : 0.34889849051833155, time : 20
iteration : 159, ce : 0.3262099355459213, total_loss : 0.3262099355459213, time : 20
iteration : 179, ce : 0.3153982512652874, total_loss : 0.3153982512652874, time : 20
iteration : 199, ce : 0.32862604707479476, total_loss : 0.32862604707479476, time : 19
iteration : 219, ce : 0.3319177985191345, total_loss : 0.3319177985191345, time : 20
iteration : 239, ce : 0.31143710762262344, total_loss : 0.31143710762262344, time : 19
iteration : 259, ce : 0.3173178479075432, total_loss : 0.3173178479075432, time : 20
iteration : 279, ce : 0.33137327767908575, total_loss : 0.33137327767908575, time : 19
iteration : 299, ce : 0.2942056909203529, total_loss : 0.2942056909203529, time : 19
iteration : 319, ce : 0.3256133504211903, total_loss : 0.3256133504211903, time : 19
iteration : 339, ce : 0.29754670709371567, total_loss : 0.29754670709371567, time : 19
iteration : 359, ce : 0.30852113142609594, total_loss : 0.30852113142609594, time : 19
iteration : 379, ce : 0.3074989177286625, total_loss : 0.3074989177286625, time : 19
iteration : 399, ce : 0.27658034563064576, total_loss : 0.27658034563064576, time : 19
iteration : 419, ce : 0.33717421665787695, total_loss : 0.33717421665787695, time : 19
iteration : 439, ce : 0.3435329206287861, total_loss : 0.3435329206287861, time : 19
iteration : 459, ce : 0.3467847738415003, total_loss : 0.3467847738415003, time : 19
iteration : 479, ce : 0.2984503943473101, total_loss : 0.2984503943473101, time : 19
iteration : 499, ce : 0.25072422455996274, total_loss : 0.25072422455996274, time : 19
iteration : 519, ce : 0.34412439316511156, total_loss : 0.34412439316511156, time : 19
iteration : 539, ce : 0.32798695005476475, total_loss : 0.32798695005476475, time : 19
iteration : 559, ce : 0.29087788201868536, total_loss : 0.29087788201868536, time : 19
iteration : 579, ce : 0.28958348333835604, total_loss : 0.28958348333835604, time : 19
iteration : 599, ce : 0.34772098287940023, total_loss : 0.34772098287940023, time : 20
iteration : 619, ce : 0.36289178729057314, total_loss : 0.36289178729057314, time : 19
iteration : 639, ce : 0.3233932819217443, total_loss : 0.3233932819217443, time : 19
iteration : 659, ce : 0.32789321169257163, total_loss : 0.32789321169257163, time : 19
iteration : 679, ce : 0.3663928799331188, total_loss : 0.3663928799331188, time : 19
iteration : 699, ce : 0.2899618327617645, total_loss : 0.2899618327617645, time : 20
iteration : 719, ce : 0.2824470899999142, total_loss : 0.2824470899999142, time : 19
iteration : 739, ce : 0.31949529349803923, total_loss : 0.31949529349803923, time : 19
iteration : 759, ce : 0.337481876462698, total_loss : 0.337481876462698, time : 20
iteration : 779, ce : 0.23778906427323818, total_loss : 0.23778906427323818, time : 19
iteration : 799, ce : 0.3157659098505974, total_loss : 0.3157659098505974, time : 19
iteration : 819, ce : 0.2933445807546377, total_loss : 0.2933445807546377, time : 19
iteration : 839, ce : 0.27454634308815, total_loss : 0.27454634308815, time : 19
iteration : 859, ce : 0.3278940409421921, total_loss : 0.3278940409421921, time : 19
iteration : 879, ce : 0.3201328478753567, total_loss : 0.3201328478753567, time : 19
iteration : 899, ce : 0.2570235151797533, total_loss : 0.2570235151797533, time : 19
iteration : 919, ce : 0.29931973442435267, total_loss : 0.29931973442435267, time : 19
iteration : 939, ce : 0.31874132454395293, total_loss : 0.31874132454395293, time : 19
iteration : 959, ce : 0.30030407607555387, total_loss : 0.30030407607555387, time : 19
iteration : 979, ce : 0.3374628618359566, total_loss : 0.3374628618359566, time : 19
iteration : 999, ce : 0.2998624749481678, total_loss : 0.2998624749481678, time : 19
iteration : 1019, ce : 0.27773203179240225, total_loss : 0.27773203179240225, time : 19
