iteration : 19, ce : 0.5479816198348999, total_loss : 0.5479816198348999, time : 96
iteration : 39, ce : 0.29940331503748896, total_loss : 0.29940331503748896, time : 61
iteration : 59, ce : 0.26001196429133416, total_loss : 0.26001196429133416, time : 62
iteration : 79, ce : 0.2619720708578825, total_loss : 0.2619720708578825, time : 59
iteration : 99, ce : 0.23393242806196213, total_loss : 0.23393242806196213, time : 56
iteration : 119, ce : 0.23233606815338134, total_loss : 0.23233606815338134, time : 56
iteration : 139, ce : 0.25512537397444246, total_loss : 0.25512537397444246, time : 56
iteration : 159, ce : 0.22990055419504643, total_loss : 0.22990055419504643, time : 56
iteration : 179, ce : 0.23214108869433403, total_loss : 0.23214108869433403, time : 58
iteration : 199, ce : 0.2253861900418997, total_loss : 0.2253861900418997, time : 61
iteration : 219, ce : 0.2234838381409645, total_loss : 0.2234838381409645, time : 60
iteration : 239, ce : 0.2419367678463459, total_loss : 0.2419367678463459, time : 60
iteration : 259, ce : 0.21370666548609735, total_loss : 0.21370666548609735, time : 60
iteration : 279, ce : 0.22427182123064995, total_loss : 0.22427182123064995, time : 59
iteration : 299, ce : 0.22862450405955315, total_loss : 0.22862450405955315, time : 59
iteration : 319, ce : 0.23902244865894318, total_loss : 0.23902244865894318, time : 59
iteration : 339, ce : 0.18535323813557625, total_loss : 0.18535323813557625, time : 59
iteration : 359, ce : 0.23803340680897236, total_loss : 0.23803340680897236, time : 59
iteration : 379, ce : 0.21736640445888042, total_loss : 0.21736640445888042, time : 59
iteration : 399, ce : 0.21284593939781188, total_loss : 0.21284593939781188, time : 59
iteration : 419, ce : 0.2211021177470684, total_loss : 0.2211021177470684, time : 59
iteration : 439, ce : 0.21184411868453026, total_loss : 0.21184411868453026, time : 59
