iteration : 19, ce : 0.5648884877562523, total_loss : 0.5648884877562523, time : 77
iteration : 39, ce : 0.4154203161597252, total_loss : 0.4154203161597252, time : 36
iteration : 59, ce : 0.36692520081996916, total_loss : 0.36692520081996916, time : 41
iteration : 79, ce : 0.3440104827284813, total_loss : 0.3440104827284813, time : 42
iteration : 99, ce : 0.32447429224848745, total_loss : 0.32447429224848745, time : 43
iteration : 119, ce : 0.3069663420319557, total_loss : 0.3069663420319557, time : 43
iteration : 139, ce : 0.3121753603219986, total_loss : 0.3121753603219986, time : 43
iteration : 159, ce : 0.2840366788208485, total_loss : 0.2840366788208485, time : 42
iteration : 179, ce : 0.304184590280056, total_loss : 0.304184590280056, time : 42
iteration : 199, ce : 0.31881681010127066, total_loss : 0.31881681010127066, time : 42
iteration : 219, ce : 0.32277883812785146, total_loss : 0.32277883812785146, time : 42
iteration : 239, ce : 0.29402937963604925, total_loss : 0.29402937963604925, time : 42
iteration : 259, ce : 0.27547731027007105, total_loss : 0.27547731027007105, time : 42
iteration : 279, ce : 0.3113956652581692, total_loss : 0.3113956652581692, time : 42
iteration : 299, ce : 0.2629845678806305, total_loss : 0.2629845678806305, time : 42
iteration : 319, ce : 0.27282016053795816, total_loss : 0.27282016053795816, time : 42
iteration : 339, ce : 0.2657658964395523, total_loss : 0.2657658964395523, time : 42
iteration : 359, ce : 0.27102831527590754, total_loss : 0.27102831527590754, time : 42
iteration : 379, ce : 0.24497602134943008, total_loss : 0.24497602134943008, time : 42
iteration : 399, ce : 0.30253465548157693, total_loss : 0.30253465548157693, time : 42
iteration : 419, ce : 0.26823232099413874, total_loss : 0.26823232099413874, time : 42
iteration : 439, ce : 0.2807693086564541, total_loss : 0.2807693086564541, time : 42
iteration : 459, ce : 0.2590652547776699, total_loss : 0.2590652547776699, time : 42
iteration : 479, ce : 0.2679708920419216, total_loss : 0.2679708920419216, time : 42
iteration : 499, ce : 0.2749008029699326, total_loss : 0.2749008029699326, time : 42
iteration : 519, ce : 0.2873854335397482, total_loss : 0.2873854335397482, time : 42
iteration : 539, ce : 0.2871704362332821, total_loss : 0.2871704362332821, time : 42
iteration : 559, ce : 0.28701901286840437, total_loss : 0.28701901286840437, time : 42
